"No.","Time","Source","Destination","Protocol","Length","Info","value"
"120","0.029635","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-263916,576013,-634642,-1316,-12054361,54141970,-41660821,-358"
"121","0.029635","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-332201,577350,-608308,-1621,-16362140,55304408,-38508799,1719"
"122","0.029965","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-355336,617076,-536676,-1000,-20585853,56129804,-35110784,742"
"123","0.029965","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-370921,658756,-455351,-862,-24682222,56595815,-31492373,1111"
"124","0.029965","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-403781,677394,-390320,-957,-28614972,56762236,-27669693,-233"
"125","0.030688","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-453295,672945,-342645,-780,-32363058,56547553,-23661514,1653"
"126","0.030688","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-502414,659987,-295546,-876,-35914085,55955976,-19505745,1992"
"127","0.031310","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-539983,651939,-239413,-1205,-39246436,55002602,-15247056,258"
"128","0.031310","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-565087,649958,-170200,-248,-42338606,53752789,-10923339,188"
"129","0.031310","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-578398,652023,-91710,-355,-45169220,52152812,-6576954,1188"
"130","0.031941","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-584184,654751,-9322,-1128,-47720919,50240287,-2247396,2441"
"131","0.031941","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-592203,645779,66317,-1308,-49980360,48025345,2043330,-291"
"132","0.032470","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-615901,614472,122111,-1340,-51926178,45508385,6288486,1070"
"133","0.032470","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-654203,560628,157250,-1374,-53548666,42712990,10605170,1488"
"134","0.032470","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-693289,500694,189137,-1300,-54848728,39660897,14981075,541"
"135","0.033275","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-713068,451705,235510,-1851,-55807228,36353560,19285392,651"
"136","0.033275","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-704953,422381,303175,-1784,-56422406,32821859,23475271,-739"
"137","0.033717","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-680398,402659,381089,-1696,-56681936,29103945,27488084,-898"
"138","0.033717","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-658869,375315,449796,-1406,-56660052,25199394,31336876,405"
"139","0.033717","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-650811,325650,497033,-1282,-56223464,21128749,34977962,1727"
"140","0.034528","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-658217,254851,521260,-1026,-55376743,16944634,38367121,768"
"141","0.034528","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-671338,173218,533641,-1514,-54267674,12648896,41529503,1618"
"142","0.034965","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-671936,99319,550769,-978,-52806957,8284112,44437779,2"
"143","0.034965","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-648193,44728,585687,-808,-51027077,3862805,47056649,754"
"144","0.034965","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-602333,8495,634101,-1751,-48928416,-564616,49392824,-673"
"145","0.035803","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-551817,-26647,679736,-976,-46528175,-4952837,51421113,465"
"146","0.035803","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-512771,-77848,706283,-488,-43845745,-9344511,53127454,824"
"147","0.036252","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-491279,-148984,708218,-965,-40891860,-13701403,54509525,-464"
"148","0.036252","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-476937,-228885,693546,-498,-37686334,-17966347,55559395,151"
"149","0.036252","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-458915,-305861,677415,-1567,-34250176,-22129541,56260747,-412"
"150","0.037011","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-429117,-372826,666073,-1187,-30600559,-26152900,56624592,-651"
"151","0.037011","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-385922,-426597,662157,-1414,-26760395,-30012057,56677788,-422"
"152","0.037474","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-331386,-468035,662817,-1027,-22766367,-33685438,56327602,-990"
"153","0.037474","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-273875,-507081,659017,-921,-18630988,-37147398,55586982,-429"
"154","0.037474","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-230879,-557866,634752,-1595,-14374777,-40391377,54550085,-596"
"155","0.038232","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-207809,-627575,585625,-1319,-10027717,-43373610,53167696,129"
"156","0.038232","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-185508,-694112,531742,-344,-5619688,-46089972,51458006,-1484"
"157","0.038749","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-126361,-720053,511077,-609,-1186765,-48520348,49442507,-801"
"158","0.038749","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","-10581,-686798,542495,-317,3264900,-50646890,47122622,114"
"159","0.038749","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","136391,-618371,601973,-818,7644348,-52468440,44507700,198"
"160","0.039538","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","260323,-569655,633762,-1447,11983248,-53966744,41619034,-102"
"161","0.039538","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","327945,-570536,606957,-1229,16299679,-55122330,38478031,264"
"162","0.039981","ABBMediu_40:7b:5d","Iec-Tc57_04:00:00","IEC61850 Sampled Values","120","","350532,-610667,533671,-286,20497949,-55941275,35082753,1243"
