f;FE_ct; SR_ct; WF_ct; MH_ct; WR_ct; SV_ct 
49.929;0.02655386924743652;2.253586053848267;0.02663207054138184;6.914138793945312e-06;0.02065014839172363;37.73484992980957
49.93;0.0229799747467041;2.178400993347168;0.0242002010345459;5.006790161132812e-06;0.02836894989013672;38.10961413383484
49.931;0.0289309024810791;2.281836986541748;0.0207829475402832;5.006790161132812e-06;0.01747512817382812;37.86127305030823
49.932;0.02606511116027832;2.248275995254517;0.02663111686706543;6.198883056640625e-06;0.01777005195617676;37.73381996154785
49.933;0.02606701850891113;2.243404150009155;0.02317690849304199;5.006790161132812e-06;0.01781606674194336;37.86308193206787
49.934;0.02388405799865723;2.265794038772583;0.02724099159240723;6.198883056640625e-06;0.02489614486694336;37.8914098739624
49.935;0.03293395042419434;2.203113079071045;0.0270240306854248;4.100799560546875e-05;0.01995611190795898;37.92304992675781
49.936;0.02269291877746582;2.270122051239014;0.02438998222351074;8.106231689453125e-06;0.01740312576293945;38.16770601272583
49.937;0.02244186401367188;2.291988849639893;0.02189517021179199;5.960464477539062e-06;0.01964998245239258;38.19140410423279
49.938;0.02896404266357422;2.247565031051636;0.02180695533752441;6.198883056640625e-06;0.0177619457244873;38.32865285873413
49.939;0.02697992324829102;2.236668109893799;0.02134799957275391;5.102157592773438e-05;0.01680302619934082;38.36154818534851
49.94;0.02137398719787598;2.184483051300049;0.0202641487121582;5.960464477539062e-06;0.01638698577880859;37.99516296386719
49.941;0.02126717567443848;2.203890085220337;0.02069211006164551;6.914138793945312e-06;0.01906490325927734;38.02353692054749
49.942;0.02436304092407227;2.214330911636353;0.02387499809265137;5.960464477539062e-06;0.02016496658325195;38.05263996124268
49.943;0.02447986602783203;2.171406984329224;0.02525687217712402;5.960464477539062e-06;0.01912713050842285;37.89577412605286
49.944;0.02136397361755371;2.177300930023193;0.02511692047119141;5.960464477539062e-06;0.01779699325561523;37.99629902839661
