f;FE_AErr_h1;FE_phErr_h1; SR_AErr_h1;SR_phErr_h1; WF_AErr_h1;WF_phErr_h1; MH_AErr_h1;MH_phErr_h1; WR_AErr_h1;WR_phErr_h1; SV_AErr_h1;SV_phErr_h1; FE_AErr_h2;FE_phErr_h2; SR_AErr_h2;SR_phErr_h2; WF_AErr_h2;WF_phErr_h2; MH_AErr_h2;MH_phErr_h2; WR_AErr_h2;WR_phErr_h2; SV_AErr_h2;SV_phErr_h2 
49.95;-1.632199632117803e-07;7.386449490720537e-06;-1.012913775078061e-08;3.470534001495574e-07;-0.0003444624584738598;-0.01570254675879815;0;-4.471662798618354e-17;-0.009270110783983987;NaN;-5.20139357140792e-08;-2.720444977785378;NaN;NaN;-3.821412994375883e-08;6.934127025226285e-07;-0.003249264816806929;-0.03194350955035923;1.387778780781446e-17;-1.467900811252077e-16;NaN;NaN;3.804476858548789e-09;0.8422953515606763
49.951;-1.594439641428025e-07;7.329445882220398e-06;-1.494166534943275e-08;5.119465311795108e-07;-0.0003442018433229554;-0.0153884999708066;0;-1.160425399947238e-17;-0.009268852954771978;NaN;-1.012426411783895e-05;-2.72018075527708;NaN;NaN;-5.637043509754136e-08;1.022869313187873e-06;-0.003250566548604852;-0.03130485142172157;0;1.419883766439065e-16;NaN;NaN;2.068387166194452e-05;0.8426824029264478
49.952;-1.558769350262779e-07;7.272453398599055e-06;-1.963585682940305e-08;6.72784809183227e-07;-0.0003439412350565441;-0.0150744530111368;0;-9.038516373064585e-18;-0.009267593773627736;NaN;-2.020147867609623e-05;-2.719916528164418;NaN;NaN;-7.408026549138302e-08;1.344224403015447e-06;-0.003251868324966156;-0.03066618469185347;0;2.724869399213083e-16;NaN;NaN;4.134979364370239e-05;0.8430693747399771
49.953;-1.525125232770819e-07;7.215471607757706e-06;-2.421172196065413e-08;8.295685354872233e-07;-0.0003436806336685194;-0.01476040587993725;0;-2.058341309816937e-18;-0.009266333240953051;NaN;-3.028365167134783e-05;-2.71965229645031;NaN;NaN;-9.13436540433965e-08;1.657478569308496e-06;-0.003253170145586196;-0.03002750935734832;0;-1.206926695582319e-16;NaN;NaN;6.200156584021399e-05;0.8434562670887074
49.954;-1.493443688715956e-07;7.1585000673835e-06;-2.866926818168025e-08;9.822980218296629e-07;-0.000343420039151443;-0.01444635857735639;0;-8.624840579421142e-18;-0.009265071357132171;NaN;-4.037077716623205e-05;-2.719388060137683;NaN;NaN;-1.081606348235509e-07;1.962632428950322e-06;-0.0032544720101602;-0.0293888254148;0;-6.4340158809088e-17;NaN;NaN;8.263918367648615e-05;0.8438430800599726
49.955;-8.844434595811634e-08;4.622745390925331e-06;2.496967876908229e-08;-8.555576413107211e-07;-0.0003431594514980985;-0.01413231110354825;0;-4.93068621187153e-18;-0.009263808122563666;NaN;5.095654107223346e-05;-2.734263667903804;NaN;NaN;9.420470727106167e-08;-1.709402622480247e-06;-0.003255773918383179;-0.02875013286081349;0;1.065263522197738e-16;NaN;NaN;-0.0001048301226174858;0.8153451646045189
49.956;-8.590375755179736e-08;4.576675955103582e-06;2.049197878051245e-08;-7.021347241954151e-07;-0.0003428988707022684;-0.01381826345866687;0;-3.106895875550341e-18;-0.009262543537644774;NaN;4.075872155717697e-05;-2.733999881530198;NaN;NaN;7.731140434785733e-08;-1.402864075576484e-06;-0.00325707586995018;-0.02811143169199471;0;3.016877875802891e-16;NaN;NaN;-8.380252708474478e-05;0.8157352628157249
49.957;-8.354045921699083e-08;4.530617196074616e-06;1.613254685395304e-08;-5.527643617682039e-07;-0.0003426382967566255;-0.01350421564285758;0;2.155862472895898e-18;-0.009261277602761742;NaN;3.055573027754832e-05;-2.733736090441604;NaN;NaN;6.08643229704775e-08;-1.104422452055161e-06;-0.003258377864556072;-0.02747272190493218;0;-1.368859109660332e-16;NaN;NaN;-6.278885600737028e-05;0.8161252775523109
49.958;-8.134809437176926e-08;4.484568706608627e-06;1.189137255330763e-08;-4.074461751322186e-07;-0.0003423777296539532;-0.01319016765627708;0;-1.482655042305202e-17;-0.009260010318316136;NaN;2.034757324298475e-05;-2.73347229464083;NaN;NaN;4.486342167209223e-08;-8.140770008506397e-07;-0.00325967990189556;-0.02683400349623757;0;3.007619412000099e-17;NaN;NaN;-4.178911424641829e-05;0.8165152089049239
49.959;-7.932031154123109e-08;4.438530083916703e-06;7.768444554301368e-09;-2.661797811027745e-07;-0.0003421171693879232;-0.01287611949907343;0;1.739293141466144e-17;-0.009258741684700866;NaN;1.013425646156918e-05;-2.733208494130678;NaN;NaN;2.930865848627118e-08;-5.318269614607331e-07;-0.003260981981663358;-0.02619527646250561;-1.387778780781446e-17;1.851411170769811e-16;NaN;NaN;-2.080330665542307e-05;0.816905056964107
