M;FE_AErr_h1;FE_phErr_h1; SR_AErr_h1;SR_phErr_h1; WF_AErr_h1;WF_phErr_h1; MH_AErr_h1;MH_phErr_h1; WR_AErr_h1;WR_phErr_h1; SV_AErr_h1;SV_phErr_h1; FE_AErr_h2;FE_phErr_h2; SR_AErr_h2;SR_phErr_h2; WF_AErr_h2;WF_phErr_h2; MH_AErr_h2;MH_phErr_h2; WR_AErr_h2;WR_phErr_h2; SV_AErr_h2;SV_phErr_h2 
6.300000000000001;0.002672016037365887;0.003318784218404147;-1.594280263361725e-13;1.845479876450028e-17;0.0003221593394913125;0.9424790188111617;-3.33066907387547e-16;1.776356839400251e-15;0.006821577120214473;NaN;-5.385097677912398e-05;-2.774090841181002;NaN;NaN;-2.548655730905125e-13;-1.644159623891055e-17;2.229560860082802e-05;-1.256643301951262;-4.163336342344337e-16;2.498001805406612e-15;NaN;NaN;0.0001089582390250143;0.7343748116192194
6.4;0.0005716791835184143;0.005095176259332757;-1.5931700403371e-13;-2.827501902909741e-15;0.0002269004686796805;1.256637856322635;-4.440892098500626e-16;-8.881784197001256e-16;0.005823128792057597;NaN;5.38876713394032e-05;-2.790065312313541;NaN;NaN;-2.546574062733953e-13;-5.589082291479309e-15;2.03489262662615e-05;-0.6283242484746605;1.249000902703301e-16;-3.330669073875465e-15;NaN;NaN;-0.0001108390269292242;0.7036607395078335
6.5;2.136789840401221e-05;0.006529323041766677;-1.592059817312474e-13;-2.67687508508909e-15;-0.0003245456935415669;1.570796326794896;1.110223024625157e-15;-1.221245327087671e-15;0.004987562112093613;NaN;5.38876713394032e-05;-2.790065312313541;NaN;NaN;-2.546712840612031e-13;-5.135165066935067e-15;2.248923269831948e-12;-6.707124341418031e-06;2.775557561562891e-17;-1.656001923555594e-15;NaN;NaN;-0.0001108390269292242;0.7036607395078335
6.6;-0.0007675174741732516;0.004904043277495163;-1.5931700403371e-13;4.852834543172781e-17;0.0002246655804849507;-1.256636361531839;0;-2.85773055889003e-18;0.004368515485791535;NaN;-5.385097677912398e-05;-2.774090841181002;NaN;NaN;-2.548655730905125e-13;1.524102457083003e-16;2.073136646628393e-05;0.628310120050278;0;1.246049746991099e-18;NaN;NaN;0.0001089582390250143;0.7343748116192194
6.7;-0.002952550228423667;0.003416076296363091;-1.592059817312474e-13;-3.127049702237424e-15;0.0003211796451250137;-0.9424766138300935;8.881784197001252e-16;-1.332267629550187e-15;0.003981117997138073;NaN;5.38876713394032e-05;-2.790065312313541;NaN;NaN;-2.546435284855875e-13;-6.016166923003561e-15;2.277180356385911e-05;1.25663016321037;-3.05311331771918e-16;-1.804112415015885e-15;NaN;NaN;-0.0001108390269292242;0.7036607395078335
6.800000000000001;-0.002805043978583499;0.003219868686006322;-1.594280263361725e-13;-1.604796091718937e-15;0.0002060290801004783;-0.628317648529033;0;-2.125374802242177e-17;0.003809207175489826;NaN;5.38876713394032e-05;-2.790065312313541;NaN;NaN;-2.547406730002422e-13;-3.198424473217484e-15;2.191965089221037e-05;-1.256637082372828;0;3.063949754395428e-17;NaN;NaN;-0.0001108390269292242;0.7036607395078335
6.9;-0.0006399104179345416;0.001497563737277829;-1.5931700403371e-13;-3.958879440358515e-15;6.137021934837783e-05;-0.3141589851602341;-4.440892098500626e-16;-1.110223024625157e-15;0.00381495376643981;NaN;5.38876713394032e-05;-2.790065312313541;NaN;NaN;-2.545741395465484e-13;-7.855671749500246e-15;2.045941482198277e-05;-0.6283175994568224;-8.326672684688674e-17;-3.469446951953617e-15;NaN;NaN;-0.0001108390269292242;0.7036607395078335
7;-4.440892098500626e-16;-4.440892098500626e-15;0;-6.499479241760109e-16;-3.885780586188048e-15;-6.719446283613167e-16;2.220446049250313e-16;-5.551115123125782e-16;0.003949031368978062;NaN;5.38876713394032e-05;-2.790065312313541;NaN;NaN;4.163336342344337e-17;-1.274795320222856e-15;-3.469446951953614e-16;-1.376439120419909e-15;2.775557561562891e-17;-3.053113317719179e-15;NaN;NaN;-0.0001108390269292242;0.7036607395078335
7.100000000000001;0.0005932224385110096;0.001360854570958026;-1.5931700403371e-13;-1.153863802572793e-15;6.061015096814337e-05;0.3141595161617811;-2.220446049250313e-16;-5.551115123125784e-16;0.004159800460681096;NaN;5.38876713394032e-05;-2.790065312313541;NaN;NaN;-2.547961841514734e-13;-2.839721828528989e-15;2.052276784898777e-05;0.6283200632996485;-1.665334536937735e-16;-9.436895709313846e-15;NaN;NaN;-0.0001108390269292242;0.7036607395078335
7.2;0.002438813509339166;0.002705874652507489;-1.592059817312474e-13;-5.257366751590461e-16;0.000205558910752357;0.6283192450547648;0;-8.928719238063546e-18;0.004400475217805511;NaN;5.372327217023631e-05;-2.790379299152044;NaN;NaN;-2.548378175148969e-13;-1.078294289023399e-15;2.258829214288327e-05;1.256641475458132;0;2.748666250367169e-16;NaN;NaN;-0.000110942514756171;0.7030322890391411
