M;FE_ct; SR_ct; WF_ct; MH_ct; WR_ct; SV_ct 
4.7;0.065216064453125;2.125026941299438;0.02513408660888672;5.960464477539062e-06;0.02168893814086914;35.15564012527466
4.8;0.06519794464111328;2.127000093460083;0.0248110294342041;5.960464477539062e-06;0.02091503143310547;35.99211001396179
4.9;0.06351399421691895;2.325706005096436;0.02628493309020996;5.960464477539062e-06;0.02152800559997559;36.80833697319031
5;0.02527809143066406;2.134767055511475;0.02063918113708496;5.960464477539062e-06;0.01696395874023438;36.94980502128601
5.1;0.02481579780578613;2.189512968063354;0.02065896987915039;5.006790161132812e-06;0.01642894744873047;37.98087382316589
5.2;0.02498102188110352;2.255939960479736;0.02083802223205566;5.006790161132812e-06;0.01669812202453613;38.9880850315094
5.300000000000001;0.02474403381347656;2.275845050811768;0.0206758975982666;5.006790161132812e-06;0.01633310317993164;39.56194400787354
5.4;0.02501893043518066;2.356984853744507;0.02059698104858398;5.006790161132812e-06;0.0165560245513916;41.11703681945801
5.5;0.02551388740539551;2.360281944274902;0.02249312400817871;5.960464477539062e-06;0.01758790016174316;41.36668014526367
5.6;0.0254979133605957;2.420696973800659;0.02484011650085449;1.406669616699219e-05;0.01970505714416504;42.36070799827576
5.7;0.02523899078369141;2.461348056793213;0.02099204063415527;5.960464477539062e-06;0.01640486717224121;43.15114188194275
5.800000000000001;0.0252540111541748;2.520034074783325;0.02089381217956543;5.006790161132812e-06;0.01645398139953613;44.09090900421143
5.9;0.03802800178527832;2.634864091873169;0.02590703964233398;5.960464477539062e-06;0.0208439826965332;45.66173696517944
6;0.02909708023071289;2.625932931900024;0.02442097663879395;5.006790161132812e-06;0.02041506767272949;46.0752899646759
6.1;0.02717494964599609;2.665573120117188;0.02167677879333496;5.960464477539062e-06;0.01742696762084961;46.72588706016541
6.2;0.02619004249572754;2.712723016738892;0.02164196968078613;5.006790161132812e-06;0.01690387725830078;48.12312483787537
6.300000000000001;0.02332901954650879;2.736208200454712;0.02201986312866211;5.960464477539062e-06;0.01740884780883789;48.86667203903198
6.4;0.02718782424926758;2.828010082244873;0.02198600769042969;5.006790161132812e-06;0.01727795600891113;49.63208794593811
6.5;0.02769613265991211;2.874021053314209;0.02378988265991211;5.960464477539062e-06;0.0202178955078125;50.42327189445496
6.6;0.0238950252532959;2.93625807762146;0.02377104759216309;5.006790161132812e-06;0.01980805397033691;51.98003602027893
6.7;0.02406096458435059;2.997848987579346;0.02218294143676758;5.006790161132812e-06;0.01683998107910156;52.29576587677002
6.800000000000001;0.02488017082214355;3.05794620513916;0.02264404296875;5.006790161132812e-06;0.01758599281311035;53.12278413772583
6.9;0.02814602851867676;3.086833953857422;0.02449703216552734;5.960464477539062e-06;0.01959013938903809;54.19463181495667
7;0.0261380672454834;3.100219011306763;0.02263283729553223;5.006790161132812e-06;0.01772499084472656;54.95791292190552
7.100000000000001;0.02457213401794434;3.168819904327393;0.0225670337677002;5.006790161132812e-06;0.01749300956726074;56.03492307662964
7.2;0.02491283416748047;3.242051839828491;0.0227198600769043;5.006790161132812e-06;0.017578125;57.115394115448
7.3;0.02440786361694336;3.218364953994751;0.02274990081787109;5.006790161132812e-06;0.01744890213012695;57.53284597396851
7.4;0.02460694313049316;3.326956033706665;0.02336788177490234;5.006790161132812e-06;0.01720786094665527;59.88687515258789
7.5;0.02492809295654297;3.350787878036499;0.02290916442871094;5.006790161132812e-06;0.01722502708435059;59.48143577575684
7.600000000000001;0.02603721618652344;3.400450229644775;0.02299618721008301;5.006790161132812e-06;0.01751303672790527;60.59657192230225
7.7;0.02490901947021484;3.43347692489624;0.02279806137084961;9.059906005859375e-06;0.01733994483947754;61.82978200912476
7.800000000000001;0.02465009689331055;3.456362009048462;0.02337884902954102;5.960464477539062e-06;0.01768302917480469;62.61141300201416
7.9;0.02678108215332031;3.627392053604126;0.02399802207946777;5.960464477539062e-06;0.01814603805541992;64.60723280906677
8;0.02601099014282227;3.592540979385376;0.02364802360534668;5.960464477539062e-06;0.01798391342163086;64.37383699417114
8.100000000000001;0.02645611763000488;3.640107870101929;0.02335715293884277;5.960464477539062e-06;0.01804208755493164;64.83133602142334
8.199999999999999;0.02479791641235352;3.689309120178223;0.02431511878967285;5.006790161132812e-06;0.01764583587646484;65.66378903388977
8.300000000000001;0.02526283264160156;3.713742971420288;0.0263068675994873;5.960464477539062e-06;0.01920795440673828;66.52312994003296
8.4;0.02568316459655762;3.848813056945801;0.0237889289855957;5.006790161132812e-06;0.01811599731445312;67.83081293106079
8.5;0.02860593795776367;3.824287891387939;0.02402901649475098;5.006790161132812e-06;0.01800799369812012;68.55874991416931
8.600000000000001;0.02754116058349609;3.915761947631836;0.02421402931213379;5.006790161132812e-06;0.01769089698791504;69.7338969707489
8.699999999999999;0.03084182739257812;3.967879056930542;0.02427411079406738;5.960464477539062e-06;0.01796793937683105;70.48596501350403
8.800000000000001;0.02864503860473633;4.020321130752563;0.02444291114807129;4.76837158203125e-06;0.01807999610900879;71.33836388587952
8.9;0.02785778045654297;4.051968097686768;0.0247340202331543;5.006790161132812e-06;0.01776909828186035;72.32375192642212
9;0.02803611755371094;4.080805063247681;0.02482199668884277;5.006790161132812e-06;0.0184929370880127;73.26635217666626
9.100000000000001;0.02947497367858887;4.203974962234497;0.02477407455444336;5.006790161132812e-06;0.01819705963134766;74.28753995895386
9.199999999999999;0.02953982353210449;4.263609886169434;0.02531719207763672;5.960464477539062e-06;0.01842617988586426;75.51245999336243
9.300000000000001;0.02880096435546875;4.220898866653442;0.02507400512695312;5.960464477539062e-06;0.01850605010986328;75.61978602409363
9.4;0.0285649299621582;4.3537278175354;0.02495789527893066;5.006790161132812e-06;0.01841378211975098;77.67707300186157
9.5;0.02842998504638672;4.361674070358276;0.02533411979675293;5.960464477539062e-06;0.01845097541809082;77.4541289806366
9.600000000000001;0.02894878387451172;4.41339898109436;0.02572894096374512;7.867813110351562e-06;0.01877284049987793;78.72756099700928
9.699999999999999;0.03197503089904785;4.428609132766724;0.02531313896179199;5.960464477539062e-06;0.01824212074279785;79.33287310600281
9.800000000000001;0.02873516082763672;4.475999116897583;0.0250389575958252;5.006790161132812e-06;0.01832199096679688;80.04015898704529
9.9;0.03061199188232422;4.653839111328125;0.02536416053771973;5.006790161132812e-06;0.01919102668762207;82.22510290145874
10;0.02886199951171875;4.607794046401978;0.02625584602355957;5.960464477539062e-06;0.01927304267883301;82.78882789611816
10.1;0.02912998199462891;4.632538795471191;0.0256040096282959;5.006790161132812e-06;0.01910114288330078;82.97348308563232
10.2;0.02943015098571777;4.715234994888306;0.02546095848083496;5.960464477539062e-06;0.01846098899841309;83.24338507652283
10.3;0.02854299545288086;4.708014965057373;0.02555704116821289;5.006790161132812e-06;0.01816511154174805;84.58485412597656
10.4;0.02900505065917969;4.88713002204895;0.02612686157226562;5.006790161132812e-06;0.01887083053588867;85.91162300109863
10.5;0.02862191200256348;4.835684061050415;0.02583980560302734;5.006790161132812e-06;0.01881694793701172;86.7103099822998
10.6;0.02624702453613281;4.937932014465332;0.02647805213928223;6.198883056640625e-06;0.01867294311523438;87.67684006690979
10.7;0.02604913711547852;4.970691919326782;0.0268559455871582;6.914138793945312e-06;0.0206141471862793;88.52801299095154
10.8;0.02639889717102051;5.056370973587036;0.02617096900939941;5.006790161132812e-06;0.01881694793701172;89.28710412979126
10.9;0.02618813514709473;5.057009935379028;0.02640795707702637;5.960464477539062e-06;0.0184788703918457;90.51045989990234
11;0.02729415893554688;5.07138991355896;0.02651596069335938;5.006790161132812e-06;0.01966476440429688;91.77268195152283
11.1;0.02805805206298828;5.163379907608032;0.0273590087890625;5.006790161132812e-06;0.01908516883850098;93.0262930393219
11.2;0.02797698974609375;5.261087894439697;0.02691102027893066;5.960464477539062e-06;0.01889491081237793;94.43016409873962
11.3;0.02697515487670898;5.221964120864868;0.0269320011138916;5.960464477539062e-06;0.01935815811157227;94.76741313934326
11.4;0.02714920043945312;5.337156057357788;0.02675509452819824;5.006790161132812e-06;0.01893520355224609;96.34109807014465
11.5;0.02753210067749023;5.345154047012329;0.02666902542114258;5.006790161132812e-06;0.01928901672363281;96.21378588676453
11.6;0.02854394912719727;5.475994825363159;0.02735280990600586;5.960464477539062e-06;0.01920294761657715;97.07855916023254
11.7;0.02949905395507812;5.441632986068726;0.02660393714904785;5.006790161132812e-06;0.01933598518371582;98.37750005722046
11.8;0.02724409103393555;5.472661018371582;0.02705192565917969;5.006790161132812e-06;0.01894998550415039;99.01307201385498
11.9;0.02834820747375488;5.686485052108765;0.02767395973205566;5.960464477539062e-06;0.01977396011352539;101.6127429008484
12;0.02874422073364258;5.635874032974243;0.02750396728515625;5.006790161132812e-06;0.01983523368835449;101.4553210735321
12.1;0.02785587310791016;5.633932113647461;0.02802109718322754;5.006790161132812e-06;0.01957511901855469;101.8113191127777
12.2;0.02684783935546875;5.703355073928833;0.02732205390930176;5.960464477539062e-06;0.01906895637512207;102.7485280036926
12.3;0.02969503402709961;5.70672082901001;0.02741718292236328;4.053115844726562e-06;0.01903796195983887;103.4225940704346
12.4;0.02836179733276367;5.85025691986084;0.02780294418334961;5.960464477539062e-06;0.01950597763061523;105.0714139938354
12.5;0.02793097496032715;5.832258224487305;0.0274500846862793;5.006790161132812e-06;0.01924610137939453;105.7126779556274
12.6;0.02853989601135254;5.925321102142334;0.02759099006652832;5.006790161132812e-06;0.01928901672363281;106.9277548789978
12.7;0.02761077880859375;5.999258041381836;0.02789998054504395;5.960464477539062e-06;0.019287109375;107.7280008792877
12.8;0.02881979942321777;6.096524000167847;0.02830910682678223;5.960464477539062e-06;0.01972794532775879;108.4700529575348
12.9;0.02857208251953125;6.110533952713013;0.02785396575927734;6.198883056640625e-06;0.01957082748413086;109.4984061717987
13;0.02883696556091309;6.205763101577759;0.02843499183654785;5.006790161132812e-06;0.02021098136901855;109.6553721427917
13.1;0.02896499633789062;6.275436878204346;0.02872085571289062;5.960464477539062e-06;0.01987600326538086;111.0924770832062
13.2;0.02929210662841797;6.371788024902344;0.02874588966369629;5.006790161132812e-06;0.01990795135498047;112.1179769039154
13.3;0.02875900268554688;6.318668127059937;0.02802085876464844;5.006790161132812e-06;0.01974892616271973;111.9811918735504
13.4;0.0295708179473877;6.385702848434448;0.02878189086914062;5.006790161132812e-06;0.01975083351135254;114.0733389854431
