fs;FE_AErr_h1;FE_phErr_h1; SR_AErr_h1;SR_phErr_h1; WF_AErr_h1;WF_phErr_h1; MH_AErr_h1;MH_phErr_h1; WR_AErr_h1;WR_phErr_h1; SV_AErr_h1;SV_phErr_h1; FE_AErr_h2;FE_phErr_h2; SR_AErr_h2;SR_phErr_h2; WF_AErr_h2;WF_phErr_h2; MH_AErr_h2;MH_phErr_h2; WR_AErr_h2;WR_phErr_h2; SV_AErr_h2;SV_phErr_h2 
4500;-1.110223024625157e-16;4.440892098500626e-15;-3.297726969275772e-08;1.233254127438971e-11;-0.0003314400000012929;1.101889204053697e-15;0;9.402458466277602e-17;-0.009205570946797637;NaN;NaN;NaN;NaN;NaN;-5.29474155908094e-08;1.223677811974081e-10;-0.003314400000000189;2.52049720595299e-15;-6.938893903907228e-17;1.645992412777336e-16;NaN;NaN;NaN;NaN
4533.333333333333;-5.242996583554316e-07;1.360129025140822e-05;-3.206475174266643e-08;1.359697562113972e-12;-0.000341013695818515;-0.01154603129806745;0;-1.556093699101041e-17;-0.009253353699688605;NaN;NaN;NaN;NaN;NaN;-5.147954552919831e-08;-9.339277521013314e-11;-0.003266497136109645;-0.02348998391400475;-2.775557561562891e-17;7.79871552541379e-18;NaN;NaN;NaN;NaN
4566.666666666667;-2.761365537118365e-06;7.488154111578993e-05;-1.002303668173887e-06;3.315698748934416e-05;-0.0003504566200465131;-0.02292328286686523;0;1.174600489923076e-16;-0.009298657871380178;NaN;NaN;NaN;NaN;NaN;-3.716152407337581e-06;6.491218847710589e-05;-0.003219347478186113;-0.04662562012283512;-1.52655665885959e-16;-9.393923946359389e-16;NaN;NaN;NaN;NaN
4600;4.440892098500626e-16;1.77635683940025e-15;0;2.532827892362455e-15;-0.0003314399999997386;6.14436452165386e-16;0;5.205206727346178e-17;-0.009205570946798525;NaN;NaN;NaN;NaN;NaN;-2.359223927328458e-16;4.560674382123457e-15;-0.003314399999999884;1.473446013884993e-15;1.387778780781446e-17;1.792787278613746e-17;NaN;NaN;NaN;NaN
4633.333333333333;-4.910589457285397e-07;1.302059002750156e-05;-2.938343013347833e-08;5.325849447097521e-13;-0.0003408069734492924;-0.01129683877494013;0;-7.395271912187934e-18;-0.009252341571500788;NaN;NaN;NaN;NaN;NaN;-4.716773745194747e-08;-8.231724332206852e-11;-0.003267530483019129;-0.02298312979489318;0;-4.433365936290154e-16;NaN;NaN;NaN;NaN
4666.666666666667;-2.608008769389158e-06;7.17274697601411e-05;-9.589136148457911e-07;3.176550196468403e-05;-0.0003500487367106286;-0.02243207924629212;0;4.964722410584513e-17;-0.009296738652988967;NaN;NaN;NaN;NaN;NaN;-3.55786736137842e-06;6.221698001733351e-05;-0.003221381843999144;-0.04562698033335923;-2.775557561562891e-17;2.8836237868683e-16;NaN;NaN;NaN;NaN
4700;-2.220446049250313e-16;3.552713678800501e-15;-2.770972695742557e-08;9.9260273627927e-12;-0.0003314400000008488;-1.140866020319863e-16;0;8.442661396238866e-17;-0.009205570946797748;NaN;NaN;NaN;NaN;NaN;-4.447711719757219e-08;9.854798332809375e-11;-0.003314400000000023;5.853297208825949e-16;6.938893903907228e-17;-6.287607121933014e-16;NaN;NaN;NaN;NaN
4733.333333333333;-4.605697925263996e-07;1.247628922085298e-05;-2.697669776452472e-08;1.801000813276721e-12;-0.0003406089898391196;-0.01105817541317452;0;-2.209524277235164e-17;-0.009251371414316312;NaN;NaN;NaN;NaN;NaN;-4.329844770223357e-08;-6.904521629451767e-11;-0.003268520191344479;-0.02249768694382129;-9.71445146547012e-17;3.597090791426472e-16;NaN;NaN;NaN;NaN
4766.666666666667;-2.466398758116384e-06;6.876809127387418e-05;-9.18294862373159e-07;3.045949372194313e-05;-0.0003496579835204905;-0.02196148516604696;0;-1.193826847423993e-16;-0.009294896838787814;NaN;NaN;NaN;NaN;NaN;-3.409487856778637e-06;5.968556278168553e-05;-0.003223330969701996;-0.04467022195231746;9.71445146547012e-17;-6.390428841583247e-16;NaN;NaN;NaN;NaN
4800;-2.220446049250313e-16;2.664535259100376e-15;-1.110223024625157e-16;3.060344730947031e-15;-0.0003314399999996276;9.810516595393026e-16;0;5.80268403121393e-17;-0.009205570946798303;NaN;NaN;NaN;NaN;NaN;-2.220446049250313e-16;5.606686495065724e-15;-0.003314399999999912;1.858410552127779e-15;-2.775557561562891e-17;8.588237985342858e-17;NaN;NaN;NaN;NaN
4833.333333333333;-4.325532996229953e-07;1.196540936021506e-05;-2.481149741218047e-08;5.008653960411677e-12;-0.0003404192023376273;-0.01082938768476786;0;-2.565782891175859e-17;-0.009250440671522586;NaN;NaN;NaN;NaN;NaN;-3.981829616028776e-08;-5.356054911193887e-11;-0.003269468968103956;-0.02203232669432967;0;-5.738420799343229e-16;NaN;NaN;NaN;NaN
4866.666666666667;-2.335406918185789e-06;6.598776690136532e-05;-8.802159008336474e-07;2.923214711453936e-05;-0.0003492833035133591;-0.02151023019975925;0;1.958171371821327e-16;-0.009293127847048499;NaN;NaN;NaN;NaN;NaN;-3.270206129543651e-06;5.730501966737284e-05;-0.003225200101746928;-0.04375276441937765;0;1.020074282054053e-16;NaN;NaN;NaN;NaN
4900;-4.440892098500626e-16;2.220446049250313e-15;-2.345325933461595e-08;8.061066232617309e-12;-0.0003314399999988504;5.270880247488643e-16;0;9.541211541048626e-17;-0.009205570946797748;NaN;NaN;NaN;NaN;NaN;-3.76354371972587e-08;8.007661150057194e-11;-0.003314399999999995;9.200713985726439e-16;1.387778780781446e-17;-1.481276143102405e-15;NaN;NaN;NaN;NaN
