f_FFT;A_FFT;f_WFFT;A_WFFT;f_resamplingSVstream;A_resamplingSVstream;f_splineresample;A_splineresample
166;0.001998573107715141;166;2.379042796583556e-09;173.9468085106383;2.890220993157684e-10;166.8469388420117;1.771848709073256e-10
167;0.001978981363416062;167;2.258352770357866e-09;174.9946808510638;2.774622561884385e-10;167.8520408832286;1.754801080639961e-10
168;0.001959590209425104;168;2.13869624329576e-09;176.0425531914894;2.556675981111732e-10;168.8571429244456;1.740536337016712e-10
169;0.001940390484520671;169;2.01987491940099e-09;177.0904255319149;1.015300294859662e-10;169.8622449656625;1.729827665587604e-10
170;0.001921373129304198;170;1.901697928166215e-09;178.1382978723404;3.346765529764723e-10;170.8673470068794;1.723764077476547e-10
171;0.001902529169961424;171;1.783983824326797e-09;179.1861702127659;3.03441228454518e-10;171.8724490480964;1.723923229159365e-10
172;0.001883849701987985;172;1.666566062855881e-09;180.2340425531915;2.920325816112867e-10;172.8775510893133;1.732684891105492e-10
173;0.001865325873817009;173;1.549299351890276e-09;181.281914893617;2.854003072900915e-10;173.8826531305302;1.753790356922374e-10
174;0.001846948870286006;174;1.432072392846988e-09;182.3297872340426;2.741602712367782e-10;174.8877551717472;1.79348242121349e-10
175;0.00182870989587715;175;1.31482623901808e-09;183.3776595744681;2.754815046002375e-10;175.8928572129641;1.862985065929357e-10
176;0.001810600157664708;176;1.197586783240065e-09;184.4255319148936;2.72505433117029e-10;176.897959254181;1.984687717748063e-10
177;0.001792610847901632;177;1.08051963490106e-09;185.4734042553191;2.699249258947159e-10;177.903061295398;2.210533325004639e-10
178;0.001774733126174225;178;9.640269511345691e-10;186.5212765957447;2.677427431019987e-10;178.9081633366149;2.694326770155811e-10
179;0.001756958101052585;179;8.489262901089928e-10;187.5691489361702;2.659182361008151e-10;179.9132653778319;4.345676215979351e-10
180;0.001739276811161913;180;7.367904439441969e-10;188.6170212765958;2.64417692940863e-10;180.9183674190488;1.278370810858734e-08
181;0.001721680205597261;181;6.3060850313093e-10;189.6648936170213;2.632163365505513e-10;181.9234694602657;2.302284179975638e-10
182;0.001704159123602806;182;5.360305609962421e-10;190.7127659574468;2.622961627511156e-10;182.9285715014827;6.73841233624602e-11
183;0.001686704273434429;183;4.632574323782835e-10;191.7606382978723;2.616442880895882e-10;183.9336735426996;1.79199233791633e-11
184;0.001669306210323711;184;4.276362871001829e-10;192.8085106382979;2.612517965047836e-10;184.9387755839166;1.033993122400547e-11
185;0.001651955313460327;185;4.429381441384367e-10;193.8563829787234;2.611131225303147e-10;185.9438776251335;2.058345887246773e-11
186;0.001634641761911739;186;5.093638347455214e-10;194.9042553191489;2.612254560446075e-10;186.9489796663504;2.68755424243465e-11
187;0.001617355509400674;187;6.151974307188815e-10;195.9521276595745;2.61588926316202e-10;187.9540817075674;3.023733257912413e-11
188;0.001600086257866949;188;7.484440650423344e-10;197;2.622071085347684e-10;188.9591837487843;3.16802158532416e-11
189;0.001582823429747896;189;9.015389672428196e-10;198.0478723404255;2.630894413368415e-10;189.9642857900012;3.181075049555784e-11
190;0.001565556138925097;190;1.070524105031154e-09;199.0957446808511;2.64260120527314e-10;190.9693878312182;3.10030801151113e-11
191;0.001548273160304061;191;1.253578879658828e-09;200.1436170212766;2.658030537186062e-10;191.9744898724351;2.950351836353059e-11
